epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,36.0378,1.58311,3.24197,1.47989,0.64886,0.09165,0.25546,0.14435,1.35425,2.96028,1.36258,0.00141499,0.000471663,0.00141499,0.000471663,0.00141499,0.000471663,0.00141499,0.000471663
2,61.671,1.47089,2.07288,1.36055,0.78755,0.73398,0.79431,0.43869,1.40409,1.24214,1.36542,0.00278768,0.000929226,0.00278768,0.000929226,0.00278768,0.000929226,0.00278768,0.000929226
3,85.486,1.41334,1.36823,1.32751,0.83023,0.7815,0.84874,0.47434,1.36965,1.06744,1.33806,0.00410378,0.00136793,0.00410378,0.00136793,0.00410378,0.00136793,0.00410378,0.00136793
4,109.471,1.37628,1.21683,1.29791,0.88765,0.80649,0.88307,0.52558,1.35109,0.97058,1.3136,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412,0.00403235,0.00134412
5,134.571,1.36613,1.1476,1.28165,0.88091,0.84847,0.89581,0.51965,1.3607,0.94603,1.31648,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582,0.00394747,0.00131582
6,160.261,1.32655,1.07326,1.25807,0.88552,0.84933,0.90766,0.53554,1.36002,0.89654,1.31095,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753,0.00386259,0.00128753
7,188.168,1.2995,1.04508,1.24814,0.89994,0.83863,0.90921,0.54705,1.3444,0.87344,1.29419,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923,0.0037777,0.00125923
8,214.913,1.29046,1.00911,1.24316,0.90402,0.84902,0.91249,0.53564,1.34844,0.84835,1.30221,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094,0.00369282,0.00123094
9,241.169,1.29724,0.99231,1.23518,0.90409,0.85058,0.91842,0.55032,1.34692,0.83849,1.28971,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265,0.00360794,0.00120265
10,267.301,1.27603,0.96332,1.22484,0.8929,0.86889,0.92134,0.54061,1.36366,0.83784,1.30093,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435,0.00352306,0.00117435
11,294.288,1.27222,0.94365,1.22501,0.90475,0.8548,0.91743,0.53184,1.37468,0.84224,1.30639,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606,0.00343817,0.00114606
12,321.274,1.24965,0.92955,1.21574,0.89885,0.87372,0.92705,0.54469,1.3525,0.8076,1.2959,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776,0.00335329,0.00111776
13,347.734,1.24246,0.90785,1.21186,0.8912,0.88158,0.92468,0.54686,1.35483,0.79761,1.29528,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947,0.00326841,0.00108947
14,373.861,1.23617,0.90536,1.20576,0.91839,0.87612,0.93661,0.55004,1.34832,0.78777,1.2936,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118,0.00318353,0.00106118
15,401.022,1.23161,0.88459,1.19862,0.91913,0.8718,0.93157,0.54863,1.35607,0.77805,1.29306,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288,0.00309864,0.00103288
16,427.768,1.20462,0.86989,1.18169,0.92444,0.8775,0.93213,0.55591,1.34635,0.76794,1.27955,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459,0.00301376,0.00100459
17,454.425,1.20045,0.86371,1.19704,0.90734,0.87231,0.92499,0.54455,1.36891,0.77745,1.2938,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293,0.00292888,0.000976293
18,481.642,1.19809,0.85144,1.18405,0.91711,0.86913,0.92917,0.55092,1.36084,0.76562,1.2969,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999,0.002844,0.000947999
19,508.702,1.17876,0.83381,1.17838,0.91205,0.88329,0.93295,0.55574,1.35346,0.75245,1.29304,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704,0.00275911,0.000919704
20,536.134,1.19268,0.83245,1.18673,0.90594,0.8787,0.92739,0.55043,1.3618,0.75073,1.29589,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141,0.00267423,0.00089141
21,563.146,1.19512,0.83757,1.17947,0.91307,0.86748,0.9282,0.55026,1.36694,0.7486,1.29457,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116,0.00258935,0.000863116
22,590.942,1.17217,0.81114,1.16731,0.90807,0.88654,0.93124,0.55531,1.36029,0.73565,1.29503,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822,0.00250447,0.000834822
23,618.211,1.14905,0.79699,1.15756,0.90884,0.87479,0.92457,0.55054,1.36873,0.7364,1.30265,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528,0.00241958,0.000806528
24,645.732,1.15127,0.79626,1.15149,0.91211,0.87415,0.92827,0.55019,1.36184,0.72933,1.30731,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233,0.0023347,0.000778233
25,673.519,1.15067,0.78593,1.15612,0.9254,0.86603,0.92635,0.54458,1.37419,0.72952,1.30944,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939,0.00224982,0.000749939
26,702.351,1.1375,0.78096,1.15409,0.92531,0.87892,0.92847,0.55121,1.3609,0.71643,1.29323,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645,0.00216494,0.000721645
27,730.593,1.12372,0.77307,1.15111,0.90767,0.88274,0.93191,0.54948,1.3748,0.7235,1.30802,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351,0.00208005,0.000693351
28,758.665,1.13057,0.76826,1.15186,0.91276,0.88207,0.92914,0.54844,1.36169,0.70946,1.30603,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057,0.00199517,0.000665057
29,786.488,1.11807,0.7617,1.14812,0.90362,0.89003,0.93082,0.54852,1.37295,0.71477,1.30757,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762,0.00191029,0.000636762
30,814.33,1.09683,0.7474,1.13764,0.89783,0.8969,0.93001,0.54731,1.37719,0.70479,1.31161,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468,0.0018254,0.000608468
31,841.739,1.10489,0.74631,1.13244,0.89929,0.89725,0.92902,0.54707,1.37787,0.70812,1.31572,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174,0.00174052,0.000580174
32,869.833,1.09865,0.74007,1.134,0.91033,0.88952,0.92757,0.54621,1.37558,0.70229,1.31146,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188,0.00165564,0.00055188
33,897.741,1.08884,0.73512,1.13131,0.90548,0.88418,0.92919,0.54792,1.38111,0.69855,1.31699,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586,0.00157076,0.000523586
34,925.653,1.08411,0.73561,1.13183,0.91824,0.87751,0.92982,0.55228,1.36944,0.69052,1.31136,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291,0.00148587,0.000495291
35,954.004,1.09151,0.73373,1.12768,0.91214,0.88298,0.92925,0.55246,1.37085,0.68639,1.3128,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997,0.00140099,0.000466997
36,983.016,1.07428,0.7183,1.11966,0.91882,0.88823,0.93301,0.5546,1.36777,0.68292,1.30889,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703,0.00131611,0.000438703
37,1012.07,1.07252,0.72068,1.12185,0.91635,0.88079,0.92905,0.55218,1.37166,0.68422,1.31361,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409,0.00123123,0.000410409
38,1040.61,1.07849,0.71654,1.1238,0.92593,0.87955,0.93308,0.55197,1.37435,0.68055,1.31142,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115,0.00114634,0.000382115
39,1074.38,1.05411,0.7036,1.11406,0.92479,0.88752,0.93146,0.55041,1.3773,0.67985,1.31309,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382,0.00106146,0.00035382
40,1107.46,1.06057,0.70704,1.11997,0.9169,0.88643,0.92795,0.55045,1.38062,0.67882,1.31881,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526,0.000976579,0.000325526
41,53.2163,1.02225,0.67474,1.10012,0.91725,0.87364,0.9281,0.54834,1.37373,0.69531,1.32576,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232,0.000891696,0.000297232
42,78.0772,1.00753,0.65993,1.09512,0.91487,0.88472,0.92933,0.55293,1.38455,0.69467,1.32548,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938,0.000806813,0.000268938
43,101.794,0.99054,0.64666,1.08066,0.92197,0.87929,0.92905,0.55262,1.37364,0.68988,1.32342,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644,0.000721931,0.000240644
44,125.28,0.98029,0.64138,1.07863,0.91945,0.87365,0.92941,0.55148,1.37832,0.68856,1.32924,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349,0.000637048,0.000212349
